Unnamed: 0,result,table,_start,_stop,_time,_value,_field,_measurement,bridge_id,connection,host,location,sensor,topic
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T14:00:00Z,29.942630136986292,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T15:00:00Z,33.550425000000004,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T16:00:00Z,35.74938333333333,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T17:00:00Z,44.58145833333332,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T18:00:00Z,52.99212500000001,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T19:00:00Z,52.89008333333332,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T20:00:00Z,60.18190833333333,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T21:00:00Z,65.63661666666668,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T22:00:00Z,67.75874166666671,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T23:00:00Z,70.71449166666666,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T00:00:00Z,74.53130252100843,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T01:00:00Z,78.58488235294116,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T02:00:00Z,79.98080508474575,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T03:00:00Z,83.00635833333335,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T04:00:00Z,86.49465546218484,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T05:00:00Z,88.20148333333331,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T06:00:00Z,80.77249166666668,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T07:00:00Z,71.25626666666666,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T08:00:00Z,60.04624166666664,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T09:00:00Z,50.21060833333333,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T10:00:00Z,41.701875,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T11:00:00Z,34.453514018691585,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T12:00:00Z,36.162084033613446,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T13:00:00Z,35.29439495798317,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T14:00:00Z,38.20435042735043,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T15:00:00Z,44.29447663551404,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T16:00:00Z,54.47074166666669,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T17:00:00Z,47.199605042016806,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T18:00:00Z,55.21538333333332,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T19:00:00Z,58.99710833333335,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T20:00:00Z,67.13571428571427,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T21:00:00Z,64.9447166666667,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T22:00:00Z,62.371900000000025,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T23:00:00Z,67.95608333333331,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T00:00:00Z,69.42824786324786,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T01:00:00Z,78.61096638655464,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T02:00:00Z,80.60131932773102,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T03:00:00Z,78.45103333333336,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T04:00:00Z,81.51284166666666,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T05:00:00Z,79.41654166666665,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T06:00:00Z,74.0378151260504,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T07:00:00Z,64.99071666666663,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T08:00:00Z,56.481783333333325,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T09:00:00Z,50.97465833333332,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T10:00:00Z,44.91978991596641,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T11:00:00Z,36.41894915254239,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T12:00:00Z,36.13440833333332,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T13:00:00Z,35.99275833333334,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T14:00:00Z,35.90601666666665,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T15:00:00Z,41.329566666666665,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T16:00:00Z,48.84924166666666,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T17:00:00Z,52.70170833333332,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T18:00:00Z,52.67615000000001,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T19:00:00Z,56.973033333333326,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T20:00:00Z,60.730158333333335,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T21:00:00Z,61.66678333333334,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T22:00:00Z,61.966635593220346,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-26T23:00:00Z,66.63895833333332,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T00:00:00Z,73.21914166666667,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T01:00:00Z,72.06725210084032,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T02:00:00Z,94.81798936170216,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T03:00:00Z,94.23496610169488,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T04:00:00Z,95.31611666666667,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T05:00:00Z,96.0996333333334,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T06:00:00Z,93.87471666666671,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T07:00:00Z,90.16344999999998,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T08:00:00Z,84.36458333333331,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T09:00:00Z,72.29002631578945,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T10:00:00Z,62.3647767857143,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T11:00:00Z,51.09895762711861,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T12:00:00Z,50.44023728813559,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T13:00:00Z,49.99325833333331,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T14:00:00Z,49.13370270270268,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T15:00:00Z,51.08385833333333,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T16:00:00Z,54.41041666666664,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
,,1,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-27T17:00:00Z,55.3804537815126,humidity,sensors,19-00000005345a,1-wire-i2c,heinz,sensor-board,sht3x,ds28e17ctl/heinz/sensors
