,result,table,_start,_stop,_time,_value,_field,_measurement,bridge_id,connection,host,location,sensor,topic
,,0,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T14:00:00Z,40.267328767123274,temp,sensors,19-0000000530e5,1-wire-i2c,igor,sensor-board,sht3x,ds28e17ctl/igor/sensors
,,0,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T15:00:00Z,41.09904166666668,temp,sensors,19-0000000530e5,1-wire-i2c,igor,sensor-board,sht3x,ds28e17ctl/igor/sensors
,,0,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T16:00:00Z,41.44595000000003,temp,sensors,19-0000000530e5,1-wire-i2c,igor,sensor-board,sht3x,ds28e17ctl/igor/sensors
,,0,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T17:00:00Z,40.548533333333346,temp,sensors,19-0000000530e5,1-wire-i2c,igor,sensor-board,sht3x,ds28e17ctl/igor/sensors
,,0,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T18:00:00Z,35.60016806722689,temp,sensors,19-0000000530e5,1-wire-i2c,igor,sensor-board,sht3x,ds28e17ctl/igor/sensors
,,0,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T19:00:00Z,30.59401666666666,temp,sensors,19-0000000530e5,1-wire-i2c,igor,sensor-board,sht3x,ds28e17ctl/igor/sensors
,,0,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T20:00:00Z,28.21741666666668,temp,sensors,19-0000000530e5,1-wire-i2c,igor,sensor-board,sht3x,ds28e17ctl/igor/sensors
,,0,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T21:00:00Z,26.678766666666647,temp,sensors,19-0000000530e5,1-wire-i2c,igor,sensor-board,sht3x,ds28e17ctl/igor/sensors
,,0,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T22:00:00Z,25.77091666666666,temp,sensors,19-0000000530e5,1-wire-i2c,igor,sensor-board,sht3x,ds28e17ctl/igor/sensors
,,0,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-24T23:00:00Z,24.914941666666646,temp,sensors,19-0000000530e5,1-wire-i2c,igor,sensor-board,sht3x,ds28e17ctl/igor/sensors
,,0,2022-07-24T13:23:07Z,2024-08-25T14:23:07Z,2022-07-25T00:00:00Z,24.446482758620686,temp,sensors,19-0000000530e5,1-wire-i2c,igor,sensor-board,sht3x,ds28e17ctl/igor/sensors
